code,name
01,Live animals
02,Meat and edible meat offal
03,Fish crustaceans and aquatic invertebrates
04,Dairy produce eggs honey and edible animal products
05,Products of animal origin not elsewhere specified
06,Live trees plants bulbs roots and cut flowers
07,Edible vegetables and certain roots and tubers
08,Edible fruit nuts and peel of citrus fruit or melons
09,Coffee tea maté and spices
10,Cereals
11,Milling products malt starches inulin and wheat gluten
12,Oil seeds oleaginous fruits and miscellaneous grains
13,Lac gums resins and other vegetable saps and extracts
14,Vegetable plaiting materials and other vegetable products
15,Animal vegetable or microbial fats and oils
16,Preparations of meat fish crustaceans or molluscs
17,Sugars and sugar confectionery
18,Cocoa and cocoa preparations
19,Preparations of cereals flour starch or milk
20,Preparations of vegetables fruit nuts or plants
21,Miscellaneous edible preparations
22,Beverages spirits and vinegar
23,Food industry residues and prepared animal fodder
24,Tobacco and manufactured tobacco substitutes
25,Salt sulphur earths stone plastering materials lime and cement
26,Ores slag and ash
27,Mineral fuels oils waxes and bituminous substances
28,Inorganic chemicals and compounds of precious or rare-earth metals
29,Organic chemicals
30,Pharmaceutical products
31,Fertilisers
32,Tanning dyeing extracts pigments paints inks and mastics
33,Essential oils perfumery cosmetic and toilet preparations
34,Soap washing preparations lubricants waxes and candles
35,Albuminoidal substances modified starches glues and enzymes
36,Explosives pyrotechnics matches and combustible preparations
37,Photographic or cinematographic goods
38,Miscellaneous chemical products
39,Plastics and articles thereof
40,Rubber and articles thereof
41,Raw hides skins and leather
42,Articles of leather saddlery travel goods and animal gut articles
43,Furskins and artificial fur
44,Wood and articles of wood wood charcoal
45,Cork and articles of cork
46,Manufactures of straw esparto or basketware
47,Pulp of wood recovered paper or paperboard
48,Paper paperboard and articles thereof
49,Printed books newspapers pictures and printing products
50,Silk
51,Wool animal hair and horsehair yarn and fabric
52,Cotton
53,Other vegetable textile fibres paper yarn and woven fabrics
54,Man-made filaments
55,Man-made staple fibres
56,Wadding felt nonwovens special yarn twine cordage and ropes
57,Carpets and other textile floor coverings
58,Special woven fabrics lace tapestries trimmings and embroidery
59,Impregnated coated covered or laminated textile fabrics
60,Knitted or crocheted fabrics
61,Knitted or crocheted apparel and clothing accessories
62,Non-knitted apparel and clothing accessories
63,Other made-up textile articles sets worn clothing and rags
64,Footwear gaiters and related articles
65,Headgear and parts thereof
66,Umbrellas walking sticks whips and parts thereof
67,Prepared feathers artificial flowers and articles of human hair
68,Articles of stone plaster cement asbestos mica or similar materials
69,Ceramic products
70,Glass and glassware
71,Pearls precious stones metals jewellery and coin
72,Iron and steel
73,Articles of iron or steel
74,Copper and articles thereof
75,Nickel and articles thereof
76,Aluminium and articles thereof
78,Lead and articles thereof
79,Zinc and articles thereof
80,Tin and articles thereof
81,Other base metals and cermets
82,Tools implements cutlery and parts of base metal
83,Miscellaneous articles of base metal
84,Machinery mechanical appliances boilers and parts
85,Electrical machinery equipment and parts
86,Railway or tramway locomotives rolling stock and parts
87,Vehicles other than railway or tramway rolling stock
88,Aircraft spacecraft and parts
89,Ships boats and floating structures
90,Optical photographic medical and precision instruments
91,Clocks watches and parts thereof
92,Musical instruments and parts thereof
93,Arms ammunition and parts thereof
94,Furniture bedding lamps prefabricated buildings
95,Toys games sports equipment and parts
96,Miscellaneous manufactured articles
97,Works of art collectors pieces and antiques
99,Special classification provisions
